Carrera,Codigo,Nombre,Creditos,Horarios,Requisitos,Correquisitos,TieneChoque,PuedeMatricular
"Ingeniería en Computadores","CE1106","paradigmas de programación",3,"P1-G1=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G1=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G2=MAR[17:00-18:50];JUE[17:00-18:50] | P1-G2=MAR[17:00-18:50];JUE[17:00-18:50]","CE2103","No hay",SI,NO
"Ingeniería en Computadores","CE2201","laboratorio de circuitos eléctricos",1,"P2-G1=LUN[09:30-11:20] | P2-G2=LUN[07:30-09:20] | P1-G1=LUN[09:30-11:20] | P1-G2=LUN[07:30-09:20]","FI1202","No hay",SI,NO
"Ingeniería en Computadores","EL2114","circuitos eléctricos en corriente alterna",4,"P1-G1=VIE[08:00-11:50] | P2-G1=VIE[08:00-11:50] | P1-G2=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G2=MIE[17:00-18:50];VIE[17:00-18:50] | P1-G3=JUE[14:20-16:05];VIE[08:50-10:35] | P2-G3=LUN[16:10-17:55];MAR[13:25-15:10] | P2-G4=MAR[17:00-18:50];JUE[17:00-18:50] | P1-G4=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G5=MIE[07:30-09:20] | P2-G5=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G6=MIE[07:30-09:20];VIE[07:30-09:20]","EL2113","EL2207",SI,NO
"Ingeniería en Computadores","EL2207","elementos activos",4,"P1-G1=LUN[09:45-17:55] | P2-G1=MIE[12:30-16:05] | P1-G2=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G2=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G3=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G4=MIE[17:00-18:50];VIE[09:30-11:20] | P1-G3=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G5=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G4=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G6=MIE[15:00-16:50];VIE[15:00-16:50]","EL2113","No hay",SI,NO
"Ingeniería en Computadores","PI2609","probabilidad y estadística",2,"P1-G1=JUE[17:00-19:50] | P1-G2=JUE[13:00-15:50] | P1-G3=MAR[17:00-19:50] | P2-G1=MIE[13:00-15:50];JUE[13:00-15:50] | P2-G2=LUN[07:30-10:20]","MA2104","No hay",SI,NO
"Ingeniería en Computadores","SO4604","seguridad y salud ocupacional",3,"P2-G1=MAR[07:55-10:35] | P1-G1=JUE[13:00-15:50] | P2-G2=JUE[13:00-15:50] | P2-G3=JUE[07:30-10:20] | P1-G2=LUN[08:50-11:30] | P1-G3=MAR[17:00-19:50] | P1-G4=MIE[17:00-19:50] | P2-G4=MIE[13:00-15:50] | P1-G5=LUN[07:30-10:20] | P1-G6=JUE[17:00-19:50] | P1-G7=MIE[13:00-15:50] | P1-G8=VIE[07:30-10:20] | P2-G5=LUN[07:30-10:20] | P2-G6=JUE[17:00-19:50] | P2-G7=VIE[07:30-10:20]","FI1102","No hay",SI,NO
"Ingeniería en Computadores","CE1107","fundamentos de arquitectura de computadores",4,"P1-G1=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G1=MAR[09:30-11:20];JUE[09:30-11:20]","EL2207","No hay",SI,NO
"Ingeniería Ambiental","CI0202","inglés básico",2,"P1-G1=JUE[18:00-20:50] | P1-G2=MAR[09:30-12:20] | P1-G3=LUN[18:00-20:50];JUE[13:00-15:50] | P1-G4=JUE[15:00-17:50] | P1-G5=MIE[17:30-20:15] | P1-G6=MIE[09:00-11:50] | P1-G7=JUE[09:30-12:20];MIE[15:00-17:50];LUN[09:30-12:20] | P1-G8=MAR[17:00-19:50];MIE[13:00-15:50];MAR[13:00-15:50] | P2-G1=JUE[18:00-20:50];VIE[09:30-12:20] | P2-G2=MIE[15:00-17:50] | P2-G3=LUN[18:00-20:50];MAR[13:00-15:50] | P2-G4=JUE[09:30-12:20] | P2-G5=MIE[17:30-20:15] | P2-G6=MAR[17:00-19:50] | P2-G7=MIE[13:00-15:50];LUN[09:30-12:20] | P2-G8=JUE[13:00-15:50]","No hay","No hay",SI,SI
"Ingeniería Ambiental","AI1100","introducción a la ingeniería ambiental",3,"P1-G1=MAR[15:00-17:50] | P1-G2=MAR[15:00-17:50]","No hay","No hay",SI,SI
"Ingeniería Ambiental","BI1106","laboratorio de biología general para ingeniería ambiental",1,"P1-G1=MIE[13:00-14:50];MIE[15:00-16:50] | P1-G2=MIE[17:00-18:50]","No hay","BI1107",SI,SI
"Ingeniería Ambiental","BI1107","biología para ingenieria ambiental",3,"P1-G1=LUN[07:30-11:20] | P1-G2=LUN[07:30-11:20]","No hay","BI1106",SI,SI
"Ingeniería Ambiental","CI1106","comunicación escrita",2,"P1-G1=LUN[18:00-20:50];MAR[17:00-19:50] | P1-G2=VIE[09:30-12:20];VIE[13:00-15:50] | P1-G3=LUN[09:30-12:20];LUN[18:00-20:50];MAR[07:30-10:20];MAR[13:00-15:50];MIE[07:30-10:20] | P1-G4=JUE[15:00-17:50] | P1-G5=VIE[13:00-15:50];MAR[13:00-15:50] | P1-G6=VIE[18:00-20:50] | P1-G7=MIE[15:00-17:50];JUE[17:00-19:50];VIE[07:30-10:20];VIE[13:00-15:50] | P1-G8=LUN[07:30-10:20];VIE[07:30-10:20] | P1-G9=JUE[09:30-12:20];JUE[13:00-15:50] | P1-G10=VIE[09:30-12:20];VIE[13:00-15:50] | P1-G11=MIE[13:00-15:50];VIE[17:00-19:50] | P1-G12=MIE[13:00-15:50];MIE[17:00-19:50];MAR[09:30-12:20] | P1-G13=JUE[09:30-12:20];JUE[13:00-15:50];VIE[09:30-12:20];VIE[13:00-15:50] | P1-G14=LUN[18:20-21:05] | P1-G15=MAR[09:30-12:20];MAR[15:00-17:50];MAR[18:00-20:50];MIE[09:30-12:20];MIE[15:00-17:50];MIE[18:00-20:50] | P1-G16=JUE[07:30-10:20] | P1-G17=VIE[18:20-21:05] | P1-G18=JUE[18:00-20:50] | P1-G19=JUE[15:00-17:50];JUE[18:00-20:50] | P2-G1=JUE[09:30-12:20] | P2-G2=LUN[18:00-20:50] | P2-G3=MIE[13:00-15:50] | P2-G4=MIE[13:00-15:50] | P2-G5=MAR[13:00-15:50] | P2-G6=VIE[17:30-20:15] | P2-G7=MIE[09:30-12:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","CI1230","inglés i",2,"P1-G1=LUN[07:30-10:20];MIE[09:30-12:20] | P1-G2=MIE[09:30-12:20] | P1-G3=MAR[07:30-10:20];VIE[13:00-15:50] | P1-G4=MIE[07:30-10:20];MIE[13:00-15:50];JUE[18:00-20:50] | P1-G5=JUE[09:30-12:20] | P1-G6=MAR[09:30-12:20] | P1-G7=MAR[09:30-12:20];MAR[15:00-17:50] | P1-G8=MIE[18:00-20:50] | P1-G9=LUN[09:00-11:50] | P2-G1=MAR[07:30-10:20];JUE[13:00-15:50] | P2-G2=LUN[07:30-10:20] | P2-G3=MIE[13:00-15:50] | P2-G4=MIE[18:00-20:50];JUE[18:00-20:50] | P2-G5=MAR[15:00-17:50] | P2-G6=LUN[09:00-11:50] | P2-G7=MAR[09:30-12:20] | P2-G8=JUE[09:30-12:20] | P2-G9=MAR[09:30-12:20] | P2-G10=MIE[09:30-12:20] | P2-G11=MIE[13:00-15:50];VIE[13:00-15:50]","CI0200;CI0202","No hay",SI,NO
"Ingeniería Ambiental","CS1502","introducción a la técnica ciencia y tecnología",1,"P1-G1=MIE[09:30-11:20] | P1-G2=LUN[18:00-19:50] | P1-G3=MIE[15:00-16:50] | P1-G4=MAR[15:00-16:50] | P2-G1=MIE[09:30-11:20] | P2-G2=MIE[17:00-18:50] | P2-G3=MAR[15:00-16:50] | P1-G5=LUN[09:30-11:20] | P1-G6=MIE[09:30-11:20] | P1-G7=VIE[13:00-14:50] | P1-G8=LUN[07:30-09:20] | P1-G9=VIE[13:00-14:50] | P2-G4=MIE[09:30-11:20] | P1-G10=MAR[09:30-11:20] | P1-G11=MAR[13:00-14:50] | P1-G12=MAR[16:00-17:50] | P1-G13=VIE[09:30-11:20] | P1-G14=JUE[13:00-14:50] | P1-G15=JUE[09:30-11:20] | P1-G16=JUE[13:00-14:50] | P2-G5=JUE[09:30-11:20] | P1-G17=JUE[07:30-09:20] | P1-G18=VIE[07:30-09:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","MA0101","matemática general",2,"P1-G1=MIE[18:00-20:50];VIE[18:00-19:50] | P1-G2=MIE[07:30-10:20];VIE[07:30-09:20] | P1-G3=MIE[16:00-18:50];VIE[16:00-17:50] | P2-G1=MIE[15:00-17:50];VIE[15:00-16:50] | P1-G4=MAR[17:00-19:50];JUE[17:00-18:50] | P1-G5=MIE[17:00-19:50];VIE[17:00-18:50] | P1-G6=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G7=MAR[09:30-11:20];JUE[09:30-12:20] | P1-G8=MAR[15:00-17:50];JUE[15:00-16:50] | P1-G9=MAR[18:00-20:50];JUE[18:00-19:50] | P1-G10=MIE[09:30-11:20];VIE[09:30-12:20] | P1-G11=MIE[13:00-14:50];VIE[13:00-15:50] | P2-G2=MAR[13:00-15:50];JUE[13:00-14:50] | P2-G3=MAR[18:00-20:50];JUE[18:00-19:50] | P1-G12=MIE[09:30-12:20];VIE[09:30-11:20] | P1-G13=MIE[13:00-14:50];VIE[13:00-15:50] | P2-G4=MIE[09:30-12:20];VIE[09:30-11:20] | P1-G14=MAR[09:00-11:50];JUE[09:00-10:50] | P2-G5=MAR[07:00-09:50];JUE[07:00-08:50] | P1-G15=MIE[16:00-17:50];VIE[15:00-17:50] | P1-G16=MAR[13:00-15:50];JUE[13:00-14:50] | P2-G6=MAR[15:00-16:50];JUE[15:00-17:50] | P1-G17=MAR[07:30-10:20];JUE[07:30-09:20] | P1-G18=MAR[09:30-12:20];JUE[09:30-11:20] | P2-G7=MAR[09:30-12:20];JUE[10:30-12:20] | P1-G19=MAR[13:00-14:50];JUE[13:00-15:50] | P1-G20=MAR[09:30-12:20];JUE[10:30-12:20] | P1-G21=MAR[17:00-18:50];JUE[17:00-19:50] | P1-G22=MAR[07:00-09:50];JUE[07:00-08:50] | P2-G8=MIE[16:00-18:50];VIE[17:00-18:50] | P1-G23=MIE[07:30-09:20];VIE[07:30-10:20] | P2-G9=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G24=MAR[16:00-17:50];JUE[15:00-17:50] | P2-G10=MAR[16:00-18:50];JUE[16:00-17:50] | P1-G25=MAR[07:30-09:20];JUE[07:30-10:20] | P1-G26=MAR[16:00-17:50];JUE[15:00-17:50] | P2-G11=MIE[07:30-09:20];VIE[07:30-10:20] | P1-G27=SAB[07:30-12:20] | P2-G12=SAB[07:30-12:20] | P1-G28=MAR[07:30-09:20];JUE[07:30-10:20] | P2-G13=MAR[07:30-10:20];JUE[07:30-09:20] | P1-G29=MIE[09:30-12:20];VIE[10:30-12:20] | P2-G14=MAR[09:30-12:20];JUE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","QU1102","laboratorio de química básica i",1,"P1-G1=MAR[07:30-09:20] | P1-G2=MAR[15:00-16:50] | P1-G3=MAR[07:30-09:20] | P1-G4=MAR[13:00-14:50] | P1-G5=VIE[10:00-11:50] | P1-G6=MAR[09:30-11:20] | P1-G7=MAR[09:30-11:20] | P1-G8=JUE[13:00-14:50] | P1-G9=MAR[13:00-14:50] | P1-G10=MAR[15:00-16:50] | P1-G11=JUE[09:30-11:20] | P1-G12=VIE[15:00-16:50] | P2-G1=MAR[09:30-11:20] | P2-G2=MAR[13:00-14:50] | P2-G3=JUE[13:00-14:50] | P1-G13=MIE[15:00-16:50] | P1-G14=MIE[17:00-18:50] | P2-G4=MIE[15:00-16:50] | P1-G15=MAR[17:00-18:50] | P2-G5=VIE[13:00-14:50] | P1-G16=MIE[13:00-14:50] | P1-G17=MIE[15:00-16:50] | P1-G18=JUE[07:30-09:20] | P1-G19=JUE[15:00-16:50] | P2-G6=MAR[15:00-16:50] | P1-G20=MIE[07:30-09:20] | P1-G21=MIE[09:30-11:20] | P1-G22=JUE[07:30-09:20] | P1-G23=VIE[07:30-09:20] | P1-G24=VIE[09:30-11:20] | P2-G7=MIE[07:30-09:20] | P2-G8=MIE[09:30-11:20] | P2-G9=MIE[13:00-14:50] | P1-G25=MIE[07:30-09:20] | P1-G26=VIE[13:00-14:50] | P2-G10=JUE[07:30-09:20] | P2-G11=JUE[09:30-11:20] | P2-G12=MAR[07:30-09:20] | P1-G27=MIE[09:30-11:20] | P1-G28=VIE[08:00-09:50] | P1-G29=VIE[13:00-14:50] | P2-G13=VIE[07:30-09:20] | P1-G30=JUE[17:00-18:50]","No hay","QU1106",SI,SI
"Ingeniería Ambiental","QU1106","química básica i",3,"P1-G1=MIE[13:00-14:50];VIE[13:00-14:50] | P1-G2=MIE[09:00-10:50];VIE[15:00-16:50] | P1-G3=MIE[09:30-11:20];VIE[09:30-11:20] | P1-G4=MIE[13:00-14:50];VIE[13:00-14:50] | P1-G5=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G6=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G7=MAR[17:00-18:50];JUE[17:00-18:50] | P1-G8=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G9=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G2=MAR[17:00-20:50] | P1-G10=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G3=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G4=MIE[09:30-11:20];VIE[09:30-11:20] | P1-G11=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G5=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G12=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G13=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G6=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G14=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G7=MIE[13:00-14:50];VIE[13:00-14:50]","No hay","QU1102",SI,SI
"Ingeniería Ambiental","AI2101","análisis estadístico para ingeniería ambiental",3,"P1-G1=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G1=MAR[07:30-09:20];JUE[07:30-09:20]","MA0101","No hay",SI,SI
"Ingeniería Ambiental","CI1107","comunicación oral",1,"P1-G1=LUN[09:30-12:20];VIE[13:00-15:50] | P1-G2=MAR[18:00-20:50] | P1-G3=LUN[09:00-11:50] | P1-G4=MAR[09:30-12:20] | P1-G5=MAR[18:20-21:05] | P2-G1=MAR[09:30-12:20];VIE[09:30-12:20] | P2-G2=JUE[18:00-20:50];VIE[17:00-19:50] | P2-G3=LUN[07:30-10:20];LUN[18:00-20:50];MAR[07:30-10:20];MAR[13:00-15:50];MAR[16:00-18:50];MIE[07:30-10:20] | P2-G4=VIE[09:00-11:50] | P2-G5=VIE[18:00-20:50] | P2-G6=MAR[07:30-10:20];JUE[07:30-10:20];VIE[07:30-10:20] | P2-G7=LUN[18:00-20:50];JUE[17:00-19:50];VIE[16:00-18:50] | P2-G8=LUN[09:30-12:20];JUE[09:30-12:20] | P2-G9=MAR[17:30-20:15];VIE[08:30-11:20];MAR[13:00-15:50];VIE[13:00-15:50] | P2-G10=MIE[09:30-12:20] | P2-G11=MIE[13:00-15:50];MIE[17:00-19:50] | P2-G12=JUE[09:30-12:20];JUE[13:00-15:50];VIE[09:30-12:20] | P2-G13=MIE[16:00-18:50] | P2-G14=LUN[18:20-21:05] | P2-G15=MAR[13:00-15:50];MAR[18:00-20:50];MIE[13:00-15:50];MIE[18:00-20:50];JUE[13:00-15:50];VIE[13:00-15:50] | P2-G16=JUE[15:00-17:50] | P2-G17=JUE[15:00-17:50];VIE[09:30-12:20];JUE[18:00-20:50]","CI1106","No hay",SI,NO
"Ingeniería Ambiental","CI1231","inglés II",2,"P1-G1=MAR[07:30-10:20];MAR[13:00-15:50] | P1-G2=MAR[13:00-15:50] | P1-G3=MIE[16:00-18:50] | P1-G4=MAR[18:00-20:50];JUE[17:00-19:50] | P1-G5=JUE[09:30-12:20] | P1-G6=MIE[08:30-11:20] | P1-G7=MIE[09:30-12:20] | P1-G8=LUN[09:30-12:20];LUN[18:00-20:50] | P1-G9=VIE[13:00-15:50] | P1-G10=MIE[13:00-15:50] | P1-G11=VIE[09:30-12:20] | P2-G1=MAR[13:00-15:50] | P2-G2=MAR[13:00-15:50] | P2-G3=MIE[13:00-15:50] | P2-G4=MAR[18:00-20:50] | P2-G5=LUN[18:00-20:50] | P2-G6=MAR[07:30-10:20] | P2-G7=MIE[08:30-11:20] | P2-G8=MIE[09:00-11:50] | P2-G9=LUN[09:30-12:20];MIE[09:30-12:20];JUE[09:30-12:20];MIE[16:00-18:50] | P2-G10=VIE[09:30-12:20];VIE[13:00-15:50]","CI1230","No hay",SI,NO
"Ingeniería Ambiental","FH1000","centros de formación humanística",0,"P2-G1=MAR[17:00-19:50] | P5-G1=MIE[17:00-19:50]","No hay","No hay",SI,SI
"Ingeniería Ambiental","FI1101","física general i",3,"P1-G1=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G1=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G2=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G3=MIE[10:00-11:50];VIE[10:00-11:50] | P1-G2=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G3=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G4=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G5=MAR[17:00-18:50];JUE[17:00-18:50] | P1-G4=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G6=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G7=MAR[13:00-14:50] | P1-G5=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G6=MIE[08:00-09:50];VIE[08:00-09:50] | P2-G8=MIE[08:00-09:50];VIE[08:00-09:50] | P1-G7=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G9=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G8=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G10=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G9=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G11=MAR[15:00-16:50] | P1-G10=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G12=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G11=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G12=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G13=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G14=MIE[17:00-18:50];VIE[17:00-18:50] | P1-G13=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G15=MAR[13:00-14:50];JUE[13:00-14:50]","No hay","FI1201;MA1102",SI,SI
"Ingeniería Ambiental","FI1201","laboratorio física general i",1,"P2-G1=JUE[07:30-09:20] | P2-G2=JUE[17:00-18:50] | P2-G3=MIE[15:00-16:50] | P2-G4=MIE[17:00-18:50] | P2-G5=MAR[13:00-14:50] | P2-G6=MAR[15:00-16:50] | P2-G7=MIE[13:00-14:50] | P2-G8=MIE[13:00-14:50] | P2-G9=MIE[17:00-18:50] | P2-G10=VIE[13:00-14:50] | P1-G1=MAR[15:00-16:50] | P2-G11=MIE[09:30-11:20] | P1-G2=MAR[09:30-11:20] | P1-G3=VIE[09:30-11:20] | P2-G12=MAR[09:30-11:20] | P1-G4=MIE[13:00-14:50] | P1-G5=MAR[13:00-14:50] | P1-G6=MIE[15:00-16:50] | P1-G7=JUE[13:00-14:50] | P1-G8=JUE[15:00-16:50] | P2-G13=JUE[09:30-11:20] | P1-G9=MIE[17:00-18:50] | P2-G14=JUE[15:00-16:50] | P2-G15=VIE[07:30-09:20] | P2-G16=VIE[09:30-11:20] | P2-G17=JUE[13:00-14:50] | P1-G10=JUE[09:30-11:20] | P1-G11=MAR[07:30-09:20] | P2-G18=MIE[07:30-09:20] | P1-G12=MAR[17:00-18:50] | P2-G19=MAR[17:00-18:50] | P1-G13=VIE[07:30-09:20] | P2-G20=MAR[07:30-09:20] | P2-G21=JUE[10:00-11:50] | P1-G14=MIE[09:30-11:20]","No hay","FI1101",SI,SI
"Ingeniería Ambiental","MA1102","cálculo diferencial e integral",4,"P1-G1=MIE[07:30-10:20];VIE[07:30-09:20] | P1-G2=MAR[09:30-12:20];JUE[10:30-12:20] | P1-G3=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G4=MAR[10:00-11:50];JUE[09:00-11:50] | P2-G1=MAR[07:30-09:20];JUE[07:30-10:20] | P2-G2=MAR[17:00-19:50];JUE[17:00-18:50] | P1-G5=MIE[16:00-18:50];VIE[16:00-17:50] | P2-G3=MAR[18:00-20:50];JUE[18:00-19:50] | P2-G4=MIE[16:00-18:50];VIE[16:00-17:50] | P1-G6=MAR[07:30-09:20];JUE[07:30-10:20] | P1-G7=MAR[17:00-19:50];JUE[17:00-18:50] | P2-G5=MIE[07:30-10:20];VIE[07:30-09:20] | P2-G6=SAB[07:30-12:20] | P2-G7=MIE[18:00-20:50];VIE[18:00-19:50] | P1-G8=MAR[09:30-11:20];JUE[09:30-12:20] | P1-G9=SAB[07:30-12:20] | P2-G8=MAR[09:30-11:20];JUE[09:30-12:20] | P2-G9=MAR[16:00-18:50];JUE[16:00-17:50] | P1-G10=MAR[15:00-16:50];JUE[15:00-17:50] | P1-G11=MIE[17:00-19:50];VIE[17:00-18:50] | P2-G10=MIE[17:00-19:50];VIE[17:00-18:50] | P1-G12=MAR[16:00-18:50];JUE[16:00-17:50] | P2-G11=MIE[09:30-12:20];VIE[10:30-12:20] | P2-G12=MIE[15:00-17:50];VIE[15:00-16:50] | P2-G13=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G13=MIE[07:30-09:20];VIE[07:30-10:20] | P2-G14=MAR[09:30-12:20];JUE[10:30-12:20] | P2-G15=MIE[07:30-09:20];VIE[07:30-10:20] | P1-G14=MAR[13:00-15:50];JUE[13:00-14:50] | P1-G15=MIE[15:00-17:50];VIE[15:00-16:50] | P2-G16=MAR[15:00-16:50];JUE[15:00-17:50] | P2-G17=MIE[10:30-12:20];VIE[09:30-12:20] | P1-G16=MAR[07:30-10:20];JUE[07:30-09:20] | P2-G18=MAR[07:30-10:20];JUE[07:30-09:20] | P2-G19=MAR[15:00-17:50];JUE[16:00-17:50] | P1-G17=MAR[18:00-20:50];JUE[18:00-19:50] | P2-G20=MAR[10:00-11:50];JUE[09:00-11:50] | P2-G21=MAR[13:00-15:50];JUE[13:00-14:50] | P1-G18=MIE[09:30-12:20];VIE[10:30-12:20] | P2-G22=MAR[13:00-15:50];JUE[13:00-14:50] | P1-G19=MAR[15:00-16:50];JUE[15:00-17:30] | P1-G20=MIE[09:30-12:20];VIE[09:30-11:20] | P2-G23=MIE[09:30-12:20];VIE[09:30-11:20]","MA0101","No hay",SI,SI
"Ingeniería Ambiental","QU1104","laboratorio de química básica II",1,"P2-G1=JUE[09:30-11:20] | P2-G2=JUE[15:00-16:50] | P1-G1=JUE[09:30-11:20] | P2-G3=VIE[09:30-11:20] | P1-G2=MIE[15:00-16:50] | P1-G3=JUE[07:30-09:20] | P1-G4=VIE[09:30-11:20] | P2-G4=JUE[13:00-14:50] | P2-G5=MAR[13:00-14:50] | P2-G6=MIE[13:00-14:50] | P1-G5=MIE[07:30-09:20] | P1-G6=MIE[09:30-11:20] | P1-G7=MIE[13:00-14:50] | P2-G7=MAR[09:30-11:20] | P2-G8=MAR[13:00-14:50] | P1-G8=MAR[07:30-09:20] | P1-G9=MAR[09:30-11:20] | P1-G10=JUE[13:00-14:50] | P2-G9=MAR[15:00-16:50] | P2-G10=MIE[15:00-16:50] | P1-G11=VIE[07:30-09:20] | P2-G11=MIE[07:30-09:20] | P2-G12=MIE[09:30-11:20] | P1-G12=MAR[13:00-14:50] | P1-G13=MAR[15:00-16:50] | P2-G13=MIE[09:30-11:20] | P2-G14=MAR[07:30-09:20] | P2-G15=JUE[07:30-09:20] | P2-G16=JUE[07:30-09:20]","QU1102;QU1106","QU1107",SI,SI
"Ingeniería Ambiental","QU1107","química básica II",3,"P2-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G2=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G3=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G4=MIE[13:00-14:50];VIE[13:00-14:50] | P1-G1=MIE[07:30-09:20];VIE[07:30-09:20] | P1-G2=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G5=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G6=MAR[09:30-11:20];JUE[10:30-12:20] | P2-G7=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G8=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G3=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G4=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G5=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G6=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G9=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G7=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G10=MIE[07:30-09:20];VIE[07:30-09:20]","QU1102;QU1106","QU1104",SI,SI
"Ingeniería Ambiental","AI3104","ecosaneamiento ambiental",1,"P1-G1=MIE[09:30-12:20] | P2-G1=MIE[07:30-09:20];SAB[07:30-08:20]","BI1107","No hay",SI,NO
"Ingeniería Ambiental","CA2125","elementos de computación",3,"P1-G1=MAR[17:00-18:50];JUE[17:00-18:50];MAR[19:00-20:50];JUE[19:00-20:50] | P1-G2=MIE[17:00-18:50];VIE[17:00-18:50];MAR[19:00-20:50];JUE[19:00-20:50] | P1-G3=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G4=LUN[18:00-21:35] | P1-G5=LUN[07:00-10:50] | P1-G6=MAR[09:30-11:20];JUE[09:30-11:20];MAR[09:30-11:20];JUE[09:30-11:20];MAR[07:30-09:20];JUE[07:30-09:20] | P1-G7=MAR[09:45-11:30];JUE[09:45-11:30] | P1-G8=MAR[09:00-10:50];JUE[09:00-10:50] | P1-G9=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G10=MAR[09:30-11:20];JUE[09:30-11:20];MAR[09:30-11:20];JUE[09:30-11:20] | P1-G11=MAR[09:45-11:30];JUE[09:45-11:30] | P1-G12=MAR[09:00-10:50];JUE[09:00-10:50] | P1-G13=MAR[19:00-20:50];JUE[19:00-20:50] | P1-G14=MIE[07:30-09:20];VIE[07:30-09:20];MIE[13:00-14:50];VIE[13:00-14:50] | P1-G15=JUE[12:30-16:05] | P1-G16=JUE[16:10-19:45] | P1-G17=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G1=MAR[19:00-20:50];JUE[19:00-20:50] | P2-G2=MAR[17:00-18:50];JUE[17:00-18:50];MAR[19:00-20:50];JUE[19:00-20:50] | P2-G3=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G4=MAR[07:30-09:20];JUE[07:30-09:20];MAR[09:30-11:20];JUE[09:30-11:20] | P2-G5=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G6=MIE[09:30-11:20];VIE[09:30-11:20];MIE[09:30-11:20];VIE[09:30-11:20];MIE[07:30-09:20];VIE[07:30-09:20] | P2-G7=MIE[09:45-11:30];VIE[09:45-11:30] | P2-G8=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G9=MIE[09:45-11:30];VIE[09:45-11:30] | P2-G10=MAR[19:00-20:50];JUE[19:00-20:50] | P2-G11=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G12=MAR[17:05-20:40] | P2-G13=MAR[17:00-18:50];JUE[17:00-18:50]","AI1100","No hay",SI,NO
